date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team,xg,xga
2024-04-25,20:30,Premier League,Matchweek 21,Thu,Away,L,0,1,Akhmat Grozny,66,5790,Vanja Drkušič,4-3-3,5-3-2,Sergey Ivanov,Match Report,,6,4,,0,0,2023,Sochi,,
2024-04-29,18:30 (17:30),Premier League,Matchweek 26,Mon,Home,D,0,0,Fakel Voronezh,65,4548,Vanja Drkušič,4-3-3,5-3-2,Rafael Shafeev,Match Report,,22,3,,0,0,2023,Sochi,,
2024-05-05,16:30,Premier League,Matchweek 27,Sun,Away,L,2,3,Dynamo Mosc,57,8240,Marcelo Alves,4-3-3,4-3-3,Artem Chistyakov,Match Report,,13,5,,0,0,2023,Sochi,,
2024-05-12,20:00 (19:00),Premier League,Matchweek 28,Sun,Home,W,6,1,Nizhny Novgorod,48,2725,Vanja Drkušič,4-3-3,5-4-1,Evgeny Kukulyak,Match Report,,18,9,,1,1,2023,Sochi,,
2024-05-18,20:00 (19:00),Premier League,Matchweek 29,Sat,Home,L,2,3,Krasnodar,43,8782,Vanja Drkušič,4-3-3,4-2-3-1,Pavel Shadykhanov,Match Report,,18,10,,0,0,2023,Sochi,,
2024-05-25,16:30,Premier League,Matchweek 30,Sat,Away,D,1,1,Rubin Kazan,66,7399,Vanja Drkušič,4-3-3,3-4-3,Egor Egorov,Match Report,,16,6,,0,0,2023,Sochi,,
2022-07-15,20:00,Premier League,Matchweek 1,Fri,Away,D,1,1,FC Khimki,67,4028,Douglas Santos,4-3-3,3-4-3,Evgeny Kukulyak,Match Report,,7,2,,0,0,2022,Zenit,,
2022-07-22,20:00,Premier League,Matchweek 2,Fri,Home,W,3,0,Samara,62,26701,Dejan Lovren,4-3-3,4-4-2,Artem Chistyakov,Match Report,,15,7,,1,2,2022,Zenit,,
2022-07-30,17:30,Premier League,Matchweek 3,Sat,Home,W,5,0,Loko Moscow,63,35163,Dejan Lovren,4-3-3,4-2-3-1,Sergey Karasev,Match Report,,24,11,,1,1,2022,Zenit,,
2022-08-06,20:00,Premier League,Matchweek 4,Sat,Away,D,0,0,Akhmat Grozny,56,9620,Dejan Lovren,4-3-3,3-4-3,Sergey Ivanov,Match Report,,10,0,,0,0,2022,Zenit,,
2022-08-13,17:00,Premier League,Matchweek 5,Sat,Home,W,2,1,CSKA Moscow,61,51174,Dejan Lovren,4-2-3-1,3-4-3,Pavel Kukuyan,Match Report,,19,8,,0,0,2022,Zenit,,
2022-08-21,17:30,Premier League,Matchweek 6,Sun,Home,W,2,0,Torpedo Moscow,74,33158,Dejan Lovren,4-2-3-1,4-3-3,Aleksey Sukhoy,Match Report,,38,10,,0,0,2022,Zenit,,
2022-08-28,15:00 (13:00),Premier League,Matchweek 7,Sun,Away,W,4,0,Ural,56,8538,Dejan Lovren,4-2-3-1,3-4-3,Pavel Shadykhanov,Match Report,,16,9,,0,0,2022,Zenit,,
2022-09-04,20:00,Premier League,Matchweek 8,Sun,Away,W,2,1,Spartak Moscow,49,14950,Dejan Lovren,4-3-3,4-3-1-2,Pavel Kukuyan,Match Report,,23,7,,0,0,2022,Zenit,,
2022-09-11,17:30,Premier League,Matchweek 9,Sun,Home,W,8,0,Orenburg,58,30943,Dejan Lovren,4-3-3,3-4-1-2,Evgeny Turbin,Match Report,,18,10,,0,0,2022,Zenit,,
2022-09-17,19:00,Premier League,Matchweek 10,Sat,Away,W,2,0,Dynamo Mosc,66,22721,Dejan Lovren,4-3-3,4-3-3,Sergey Karasev,Match Report,,21,7,,0,0,2022,Zenit,,
2022-10-02,16:30,Premier League,Matchweek 11,Sun,Home,W,3,1,Rostov,54,40346,Dejan Lovren,4-3-3,4-3-3,Vladimir Moskalev,Match Report,,21,9,,0,0,2022,Zenit,,
2022-10-08,14:00,Premier League,Matchweek 12,Sat,Away,D,1,1,Fakel Voronezh,79,15967,Dejan Lovren,4-3-3,3-4-1-2,Pavel Kukuyan,Match Report,,23,5,,0,0,2022,Zenit,,
2022-10-16,16:30,Premier League,Matchweek 13,Sun,Away,W,3,0,Nizhny Novgorod,61,16286,Dejan Lovren,4-3-3,3-4-3,Artem Chistyakov,Match Report,,15,6,,0,0,2022,Zenit,,
2022-10-24,20:00,Premier League,Matchweek 14,Mon,Home,W,7,0,Sochi,71,20184,Dejan Lovren,4-3-3,3-4-3,Evgeny Kukulyak,Match Report,,27,13,,0,0,2022,Zenit,,
2022-10-30,19:30,Premier League,Matchweek 15,Sun,Away,W,1,0,Krasnodar,61,33757,Douglas Santos,4-3-3,4-3-3,Vladimir Moskalev,Match Report,,17,4,,1,1,2022,Zenit,,
2022-11-05,16:30,Premier League,Matchweek 16,Sat,Home,L,1,2,Akhmat Grozny,78,34565,Dejan Lovren,4-3-3,4-2-3-1,Pavel Kukuyan,Match Report,,19,6,,0,0,2022,Zenit,,
2022-11-12,16:30,Premier League,Matchweek 17,Sat,Away,W,2,0,Torpedo Moscow,62,7888,Dejan Lovren,4-3-3,3-4-3,Sergey Karasev,Match Report,,17,5,,0,0,2022,Zenit,,
2023-03-04,16:30,Premier League,Matchweek 18,Sat,Home,W,3,0,Nizhny Novgorod,67,19705,Mikhail Kerzhakov,4-3-3,3-4-3,Roman,Match Report,,19,12,,0,1,2022,Zenit,,
2023-03-12,14:00,Premier League,Matchweek 19,Sun,Home,W,3,2,FC Khimki,53,15965,Douglas Santos,4-3-3,3-4-3,Artur Fedorov,Match Report,,15,9,,0,0,2022,Zenit,,
2023-03-19,19:30,Premier League,Matchweek 20,Sun,Away,L,0,1,CSKA Moscow,64,9974,Douglas Santos,4-3-3,3-4-3,Sergey Karasev,Match Report,,12,1,,0,0,2022,Zenit,,
2023-04-01,19:00,Premier League,Matchweek 21,Sat,Home,W,2,0,Ural,66,23966,Douglas Santos,4-3-3,4-3-3,Artem Chistyakov,Match Report,,16,6,,0,0,2022,Zenit,,
2023-04-09,20:00,Premier League,Matchweek 22,Sun,Away,W,2,1,Loko Moscow,57,10859,Douglas Santos,4-3-3,4-2-3-1,Pavel Kukuyan,Match Report,,21,5,,0,0,2022,Zenit,,
2023-04-16,19:00,Premier League,Matchweek 23,Sun,Away,D,0,0,Rostov,59,13711,Douglas Santos,4-3-3,4-3-3,Sergey Karasev,Match Report,,14,1,,0,0,2022,Zenit,,
2023-04-22,19:00,Premier League,Matchweek 24,Sat,Home,W,3,1,Dynamo Mosc,62,27724,Douglas Santos,4-3-3,4-3-3,Vitaly Meshkov,Match Report,,11,8,,1,1,2022,Zenit,,
2023-04-29,15:00 (14:00),Premier League,Matchweek 25,Sat,Away,W,5,1,Samara,64,9612,Douglas Santos,4-3-3,5-4-1,Sergey Ivanov,Match Report,,15,10,,1,1,2022,Zenit,,
2023-05-07,18:00,Premier League,Matchweek 26,Sun,Home,W,3,2,Spartak Moscow,50,44704,Douglas Santos,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,9,3,,0,0,2022,Zenit,,
2023-05-13,16:30,Premier League,Matchweek 27,Sat,Home,D,2,2,Krasnodar,65,25508,Douglas Santos,4-3-3,4-3-3,Roman Safyan,Match Report,,18,5,,0,0,2022,Zenit,,
2023-05-20,18:30 (16:30),Premier League,Matchweek 28,Sat,Away,D,2,2,Orenburg,60,5653,Douglas Santos,4-2-3-1,4-3-3,Aleksey Sukhoy,Match Report,,17,5,,0,0,2022,Zenit,,
2023-05-27,20:00 (19:00),Premier League,Matchweek 29,Sat,Away,D,1,1,Sochi,60,5049,Wílmar Barrios,4-2-3-1,3-4-3,Rafael Shafeev,Match Report,,16,5,,0,0,2022,Zenit,,
2023-06-03,17:00,Premier League,Matchweek 30,Sat,Home,W,1,0,Fakel Voronezh,74,30594,Wílmar Barrios,4-2-3-1,3-4-1-2,Artem Chistyakov,Match Report,,12,2,,0,0,2022,Zenit,,
2022-07-16,15:00,Premier League,Matchweek 1,Sat,Home,W,2,0,Ural,43,6202,Igor Akinfeev,3-4-3,4-2-3-1,Vitaly Meshkov,Match Report,,30,8,,1,1,2022,CSKA Moscow,,
2022-07-23,15:00,Premier League,Matchweek 2,Sat,Home,W,3,0,Sochi,39,9056,Igor Akinfeev,3-4-3,3-4-3,Vladimir Moskalev,Match Report,,9,3,,0,0,2022,CSKA Moscow,,
2022-07-31,15:00,Premier League,Matchweek 3,Sun,Away,D,2,2,Nizhny Novgorod,47,11847,Igor Akinfeev,3-4-3,3-4-3,Vitaly Meshkov,Match Report,,14,3,,0,0,2022,CSKA Moscow,,
2022-08-06,17:30,Premier League,Matchweek 4,Sat,Home,W,4,1,Fakel Voronezh,62,14768,Igor Akinfeev,3-4-3,3-4-1-2,Yan Bobrovskiy,Match Report,,20,7,,1,1,2022,CSKA Moscow,,
2022-08-13,17:00,Premier League,Matchweek 5,Sat,Away,L,1,2,Zenit,39,51174,Igor Akinfeev,3-4-3,4-2-3-1,Pavel Kukuyan,Match Report,,6,1,,1,1,2022,CSKA Moscow,,
2022-08-21,15:00,Premier League,Matchweek 6,Sun,Home,W,4,2,Akhmat Grozny,57,13568,Igor Akinfeev,3-4-3,3-4-3,Sergey Karasev,Match Report,,19,8,,0,0,2022,CSKA Moscow,,
2022-08-28,19:45,Premier League,Matchweek 7,Sun,Away,D,0,0,Rostov,52,8616,Igor Akinfeev,3-4-3,4-3-3,Vitaly Meshkov,Match Report,,10,3,,0,0,2022,CSKA Moscow,,
2022-09-04,16:00 (15:00),Premier League,Matchweek 8,Sun,Away,W,1,0,Samara,59,8357,Igor Akinfeev,3-4-3,5-4-1,Artem Lyubimov,Match Report,,18,6,,0,0,2022,CSKA Moscow,,
2022-09-10,17:30,Premier League,Matchweek 9,Sat,Home,W,4,1,Krasnodar,37,14880,Igor Akinfeev,3-4-3,4-3-3,Sergey Ivanov,Match Report,,14,9,,3,3,2022,CSKA Moscow,,
2022-09-17,14:00,Premier League,Matchweek 10,Sat,Away,L,0,1,Torpedo Moscow,65,8395,Igor Akinfeev,3-4-3,5-4-1,Pavel Shadykhanov,Match Report,,23,1,,0,0,2022,CSKA Moscow,,
2022-10-01,16:30,Premier League,Matchweek 11,Sat,Away,W,2,1,FC Khimki,38,4230,Igor Akinfeev,3-4-3,3-4-3,Pavel Kukuyan,Match Report,,14,5,,1,1,2022,CSKA Moscow,,
2022-10-08,16:30,Premier League,Matchweek 12,Sat,Home,D,1,1,Dynamo Mosc,52,9521,Igor Akinfeev,3-4-3,4-2-3-1,Kirill Levnikov,Match Report,,23,5,,0,0,2022,CSKA Moscow,,
2022-10-16,20:00,Premier League,Matchweek 13,Sun,Home,D,2,2,Spartak Moscow,41,17102,Igor Akinfeev,3-4-3,4-3-3,Sergey Karasev,Match Report,,10,5,,0,0,2022,CSKA Moscow,,
2022-10-23,16:00 (14:00),Premier League,Matchweek 14,Sun,Away,D,2,2,Orenburg,44,7781,Igor Akinfeev,3-4-3,4-3-3,Vladislav Bezborodov,Match Report,,13,7,,0,0,2022,CSKA Moscow,,
2022-10-29,19:00,Premier League,Matchweek 15,Sat,Away,W,1,0,Loko Moscow,37,11035,Igor Akinfeev,3-4-3,4-2-3-1,Artem Lyubimov,Match Report,,10,3,,0,0,2022,CSKA Moscow,,
2022-11-05,19:00,Premier League,Matchweek 16,Sat,Home,L,0,1,Nizhny Novgorod,65,7733,Igor Akinfeev,3-4-3,3-4-3,Sergey Ivanov,Match Report,,14,5,,0,0,2022,CSKA Moscow,,
2022-11-13,19:30,Premier League,Matchweek 17,Sun,Away,L,1,2,Dynamo Mosc,56,25048,Igor Akinfeev,3-4-3,4-3-3,Vladislav Bezborodov,Match Report,,15,5,,0,0,2022,CSKA Moscow,,
2023-03-05,20:30 (19:30),Premier League,Matchweek 18,Sun,Away,L,0,2,Sochi,55,4419,Igor Akinfeev,3-4-3,3-4-3,Vladislav Bezborodov,Match Report,,12,3,,0,0,2022,CSKA Moscow,,
2023-03-12,16:30,Premier League,Matchweek 19,Sun,Home,W,4,0,Samara,52,2680,Igor Akinfeev,3-4-3,4-4-2,Kirill Levnikov,Match Report,,15,6,,0,0,2022,CSKA Moscow,,
2023-03-19,19:30,Premier League,Matchweek 20,Sun,Home,W,1,0,Zenit,36,9974,Igor Akinfeev,3-4-3,4-3-3,Sergey Karasev,Match Report,,11,7,,0,0,2022,CSKA Moscow,,
2023-04-02,16:30,Premier League,Matchweek 21,Sun,Away,W,2,0,Fakel Voronezh,50,13029,Igor Akinfeev,3-4-3,3-4-1-2,Pavel Kukuyan,Match Report,,11,6,,1,1,2022,CSKA Moscow,,
2023-04-09,16:30,Premier League,Matchweek 22,Sun,Home,W,3,0,FC Khimki,60,3970,Anton Zabolotny,3-4-3,3-4-3,Roman,Match Report,,22,8,,0,0,2022,CSKA Moscow,,
2023-04-15,18:30 (16:30),Premier League,Matchweek 23,Sat,Away,W,2,1,Ural,48,9026,Igor Akinfeev,3-4-3,4-3-3,Vladislav Bezborodov,Match Report,,11,6,,1,1,2022,CSKA Moscow,,
2023-04-23,19:30,Premier League,Matchweek 24,Sun,Home,D,1,1,Loko Moscow,61,8315,Igor Akinfeev,3-4-3,4-2-3-1,Sergey Karasev,Match Report,,26,10,,0,0,2022,CSKA Moscow,,
2023-04-29,16:30,Premier League,Matchweek 25,Sat,Away,W,3,1,Akhmat Grozny,44,4527,Igor Akinfeev,3-4-3,4-2-3-1,Aleksey Amelin,Match Report,,11,5,,0,0,2022,CSKA Moscow,,
2023-05-07,16:30,Premier League,Matchweek 26,Sun,Home,W,2,1,Orenburg,50,3961,Igor Akinfeev,3-4-3,4-3-3,Vladimir Moskalev,Match Report,,17,7,,0,0,2022,CSKA Moscow,,
2023-05-13,19:00,Premier League,Matchweek 27,Sat,Home,W,3,0,Torpedo Moscow,61,4406,Igor Akinfeev,3-4-3,3-5-2,Vitaly Meshkov,Match Report,,17,5,,1,1,2022,CSKA Moscow,,
2023-05-21,16:30,Premier League,Matchweek 28,Sun,Away,L,1,2,Spartak Moscow,47,24679,Igor Akinfeev,3-4-3,3-4-3,Sergey Karasev,Match Report,,12,5,,0,0,2022,CSKA Moscow,,
2023-05-27,19:00,Premier League,Matchweek 29,Sat,Away,D,0,0,Krasnodar,44,23750,Igor Akinfeev,3-4-3,4-4-2,Kirill Levnikov,Match Report,,15,4,,0,0,2022,CSKA Moscow,,
2023-06-03,17:00,Premier League,Matchweek 30,Sat,Home,W,4,1,Rostov,48,10604,Igor Akinfeev,3-4-3,4-3-3,Pavel Kukuyan,Match Report,,17,7,,1,1,2022,CSKA Moscow,,
2022-07-16,20:00,Premier League,Matchweek 1,Sat,Away,D,1,1,Akhmat Grozny,56,8051,Georgi Dzhikiya,4-3-3,4-2-3-1,Vladislav Bezborodov,Match Report,,13,2,,0,0,2022,Spartak Moscow,,
2022-07-23,20:00,Premier League,Matchweek 2,Sat,Away,W,4,1,Krasnodar,46,28738,Georgi Dzhikiya,3-5-2,4-2-3-1,Kirill Levnikov,Match Report,,19,8,,0,0,2022,Spartak Moscow,,
2022-07-31,17:30,Premier League,Matchweek 3,Sun,Home,W,4,1,Orenburg,56,11303,Roman Zobnin,4-3-3,4-1-4-1,Artem Chistyakov,Match Report,,24,10,,0,1,2022,Spartak Moscow,,
2022-08-06,17:00 (15:00),Premier League,Matchweek 4,Sat,Away,W,2,0,Ural,52,8931,Roman Zobnin,4-3-3,5-4-1,Pavel Kukuyan,Match Report,,26,11,,0,0,2022,Spartak Moscow,,
2022-08-14,20:00,Premier League,Matchweek 5,Sun,Home,W,3,0,Sochi,48,11559,Georgi Dzhikiya,4-3-3,3-4-3,Vitaly Meshkov,Match Report,,16,7,,0,0,2022,Spartak Moscow,,
2022-08-20,17:30,Premier League,Matchweek 6,Sat,Away,L,0,1,Dynamo Mosc,68,25249,Georgi Dzhikiya,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,18,5,,0,0,2022,Spartak Moscow,,
2022-08-27,17:30,Premier League,Matchweek 7,Sat,Away,W,4,1,Fakel Voronezh,61,20000,Georgi Dzhikiya,4-3-3,3-4-1-2,Artem Lyubimov,Match Report,,24,9,,0,0,2022,Spartak Moscow,,
2022-09-04,20:00,Premier League,Matchweek 8,Sun,Home,L,1,2,Zenit,52,14950,Georgi Dzhikiya,4-3-1-2,4-3-3,Pavel Kukuyan,Match Report,,8,3,,0,0,2022,Spartak Moscow,,
2022-09-11,19:45,Premier League,Matchweek 9,Sun,Away,L,2,4,Rostov,60,10797,Georgi Dzhikiya,4-3-1-2,4-3-3,Sergey Karasev,Match Report,,18,7,,0,0,2022,Spartak Moscow,,
2022-09-18,19:00,Premier League,Matchweek 10,Sun,Home,W,1,0,Loko Moscow,51,13969,Georgi Dzhikiya,4-3-1-2,4-2-3-1,Kirill Levnikov,Match Report,,22,6,,0,0,2022,Spartak Moscow,,
2022-10-02,19:00,Premier League,Matchweek 11,Sun,Away,W,2,1,Nizhny Novgorod,66,14363,Georgi Dzhikiya,4-3-3,3-4-3,Evgeny Kukulyak,Match Report,,17,7,,1,1,2022,Spartak Moscow,,
2022-10-09,14:00,Premier League,Matchweek 12,Sun,Home,W,5,2,Samara,59,12222,Georgi Dzhikiya,4-3-1-2,4-2-3-1,Vasiliy Kazartsev,Match Report,,14,5,,0,0,2022,Spartak Moscow,,
2022-10-16,20:00,Premier League,Matchweek 13,Sun,Away,D,2,2,CSKA Moscow,59,17102,Georgi Dzhikiya,4-3-3,3-4-3,Sergey Karasev,Match Report,,5,4,,0,0,2022,Spartak Moscow,,
2022-10-23,16:30,Premier League,Matchweek 14,Sun,Home,W,5,0,FC Khimki,43,10631,Georgi Dzhikiya,4-1-3-2,4-3-3,Artem Lyubimov,Match Report,,22,10,,0,0,2022,Spartak Moscow,,
2022-10-30,16:30,Premier League,Matchweek 15,Sun,Home,W,1,0,Torpedo Moscow,65,13457,Georgi Dzhikiya,4-3-3,3-4-3,Sergey Ivanov,Match Report,,15,8,,0,0,2022,Spartak Moscow,,
2022-11-05,15:00 (14:00),Premier League,Matchweek 16,Sat,Away,D,1,1,Sochi,52,6172,Georgi Dzhikiya,4-3-3,3-4-3,Artem Chistyakov,Match Report,,14,2,,0,0,2022,Spartak Moscow,,
2022-11-12,19:30,Premier League,Matchweek 17,Sat,Away,W,2,1,Loko Moscow,52,14273,Georgi Dzhikiya,4-3-2-1,3-1-4-2,Vladimir Moskalev,Match Report,,12,7,,1,1,2022,Spartak Moscow,,
2023-03-04,14:00,Premier League,Matchweek 18,Sat,Home,D,2,2,Ural,71,4281,Roman Zobnin,4-3-3,4-3-3,Vitaly Meshkov,Match Report,,19,7,,0,0,2022,Spartak Moscow,,
2023-03-11,16:30,Premier League,Matchweek 19,Sat,Home,W,3,2,Fakel Voronezh,73,5002,Georgi Dzhikiya,4-3-3,3-5-2,Vladislav Bezborodov,Match Report,,22,10,,0,0,2022,Spartak Moscow,,
2023-03-18,14:00 (12:00),Premier League,Matchweek 20,Sat,Away,L,0,2,Orenburg,67,4744,Georgi Dzhikiya,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,15,1,,0,0,2022,Spartak Moscow,,
2023-04-01,16:30,Premier League,Matchweek 21,Sat,Home,D,0,0,Akhmat Grozny,71,5849,Roman Zobnin,4-4-2,4-2-3-1,Aleksey Sukhoy,Match Report,,19,6,,0,0,2022,Spartak Moscow,,
2023-04-08,19:30,Premier League,Matchweek 22,Sat,Home,D,3,3,Dynamo Mosc,58,8985,Roman Zobnin,4-3-1-2,4-3-3,Sergey Ivanov,Match Report,,20,7,,1,1,2022,Spartak Moscow,,
2023-04-15,19:00,Premier League,Matchweek 23,Sat,Away,W,2,1,Torpedo Moscow,53,4154,Roman Zobnin,4-4-2◆,4-3-1-2,Pavel Shadykhanov,Match Report,,17,7,,1,3,2022,Spartak Moscow,,
2023-04-24,19:00,Premier League,Matchweek 24,Mon,Home,W,4,3,Krasnodar,50,6083,Georgi Dzhikiya,3-4-1-2,4-3-3,Vladislav Bezborodov,Match Report,,16,7,,1,1,2022,Spartak Moscow,,
2023-04-29,19:30,Premier League,Matchweek 25,Sat,Home,D,1,1,Rostov,54,10568,Georgi Dzhikiya,3-4-1-2,4-3-3,Kirill Levnikov,Match Report,,18,6,,0,0,2022,Spartak Moscow,,
2023-05-07,18:00,Premier League,Matchweek 26,Sun,Away,L,2,3,Zenit,50,44704,Roman Zobnin,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,16,4,,1,1,2022,Spartak Moscow,,
2023-05-13,14:00,Premier League,Matchweek 27,Sat,Away,D,1,1,FC Khimki,63,3019,Quincy Promes,4-3-3,3-5-2,Evgeny Kukulyak,Match Report,,19,8,,0,0,2022,Spartak Moscow,,
2023-05-21,16:30,Premier League,Matchweek 28,Sun,Home,W,2,1,CSKA Moscow,53,24679,Georgi Dzhikiya,3-4-3,3-4-3,Sergey Karasev,Match Report,,13,7,,0,1,2022,Spartak Moscow,,
2023-05-28,14:00,Premier League,Matchweek 29,Sun,Home,D,0,0,Nizhny Novgorod,75,10145,Georgi Dzhikiya,4-2-3-1,3-5-2,Artem Lyubimov,Match Report,,25,2,,0,0,2022,Spartak Moscow,,
2023-06-03,18:00 (17:00),Premier League,Matchweek 30,Sat,Away,L,0,1,Samara,71,18196,Roman Zobnin,4-3-2-1,3-4-3,Aleksey Amelin,Match Report,,18,6,,0,1,2022,Spartak Moscow,,
2022-07-17,20:00,Premier League,Matchweek 1,Sun,Away,D,1,1,Dynamo Mosc,67,15124,Danil Glebov,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,13,4,,0,0,2022,Rostov,,
2022-07-24,20:00,Premier League,Matchweek 2,Sun,Away,D,2,2,Loko Moscow,54,9435,Danil Glebov,4-3-3,4-2-3-1,Aleksey Sukhoy,Match Report,,7,3,,0,0,2022,Rostov,,
2022-07-31,20:00,Premier League,Matchweek 3,Sun,Home,W,1,0,FC Khimki,58,5313,Danil Glebov,3-4-3,3-4-3,Vladislav Bezborodov,Match Report,,12,3,,0,0,2022,Rostov,,
2022-08-07,20:00,Premier League,Matchweek 4,Sun,Home,W,2,1,Orenburg,59,4458,Danil Glebov,4-3-3,4-1-4-1,Vasiliy Kazartsev,Match Report,,17,6,,2,2,2022,Rostov,,
2022-08-14,17:30,Premier League,Matchweek 5,Sun,Away,W,4,3,Nizhny Novgorod,54,5784,Danil Glebov,4-3-3,3-4-3,Pavel Shadykhanov,Match Report,,8,4,,1,1,2022,Rostov,,
2022-08-20,20:00,Premier League,Matchweek 6,Sat,Home,D,2,2,Sochi,50,5837,Danil Glebov,4-3-3,3-4-3,Vladislav Bezborodov,Match Report,,18,7,,0,2,2022,Rostov,,
2022-08-28,19:45,Premier League,Matchweek 7,Sun,Home,D,0,0,CSKA Moscow,48,8616,Danil Glebov,4-3-3,3-4-3,Vitaly Meshkov,Match Report,,12,4,,0,0,2022,Rostov,,
2022-09-05,20:00,Premier League,Matchweek 8,Mon,Away,W,1,0,Torpedo Moscow,55,1093,Danil Glebov,4-3-3,5-4-1,Yan Bobrovskiy,Match Report,,27,10,,1,1,2022,Rostov,,
2022-09-11,19:45,Premier League,Matchweek 9,Sun,Home,W,4,2,Spartak Moscow,40,10797,Danil Glebov,4-3-3,4-3-1-2,Sergey Karasev,Match Report,,10,5,,1,1,2022,Rostov,,
2022-09-17,16:30,Premier League,Matchweek 10,Sat,Home,W,2,1,Samara,46,5200,Danil Glebov,4-3-3,4-4-2,Pavel Kukuyan,Match Report,,10,3,,1,1,2022,Rostov,,
2022-10-02,16:30,Premier League,Matchweek 11,Sun,Away,L,1,3,Zenit,46,40346,Danil Glebov,4-3-3,4-3-3,Vladimir Moskalev,Match Report,,7,2,,0,0,2022,Rostov,,
2022-10-09,19:00,Premier League,Matchweek 12,Sun,Home,W,3,2,Krasnodar,53,8325,Danil Glebov,4-3-3,4-3-3,Vitaly Meshkov,Match Report,,23,10,,1,1,2022,Rostov,,
2022-10-14,19:30,Premier League,Matchweek 13,Fri,Home,L,1,2,Ural,52,4480,Danil Glebov,4-3-3,4-2-3-1,Evgeny Turbin,Match Report,,7,1,,1,1,2022,Rostov,,
2022-10-22,16:30,Premier League,Matchweek 14,Sat,Away,D,1,1,Fakel Voronezh,52,13980,Danil Glebov,4-3-3,3-4-1-2,Pavel Shadykhanov,Match Report,,17,6,,0,0,2022,Rostov,,
2022-10-29,16:30,Premier League,Matchweek 15,Sat,Away,W,2,1,Akhmat Grozny,56,8047,Danil Glebov,4-1-4-1,4-2-3-1,Vladislav Bezborodov,Match Report,,14,3,,0,0,2022,Rostov,,
2022-11-06,19:00,Premier League,Matchweek 16,Sun,Home,W,2,1,Dynamo Mosc,47,5214,Danil Glebov,4-1-4-1,4-1-4-1,Vladimir Moskalev,Match Report,,4,4,,0,0,2022,Rostov,,
2022-11-12,15:00 (14:00),Premier League,Matchweek 17,Sat,Away,W,3,1,Samara,53,4046,Danil Glebov,4-1-4-1,4-4-2,Artem Lyubimov,Match Report,,8,4,,1,1,2022,Rostov,,
2023-03-04,19:30,Premier League,Matchweek 18,Sat,Home,L,1,3,Loko Moscow,43,4907,Danil Glebov,3-4-3,3-1-4-2,Sergey Karasev,Match Report,,14,5,,0,0,2022,Rostov,,
2023-03-12,19:30,Premier League,Matchweek 19,Sun,Home,W,2,1,Nizhny Novgorod,65,4394,Danil Glebov,4-3-3,3-4-3,Anton Frolov,Match Report,,10,5,,1,1,2022,Rostov,,
2023-03-19,14:00,Premier League,Matchweek 20,Sun,Away,W,1,0,FC Khimki,51,696,Danil Glebov,4-3-3,4-3-3,Vladimir Moskalev,Match Report,,16,6,,1,1,2022,Rostov,,
2023-04-02,19:00,Premier League,Matchweek 21,Sun,Home,W,2,1,Torpedo Moscow,38,6300,Danil Glebov,4-3-3,4-4-2,Aleksey Amelin,Match Report,,16,9,,0,1,2022,Rostov,,
2023-04-10,19:00 (17:00),Premier League,Matchweek 22,Mon,Away,D,2,2,Orenburg,48,4581,Khoren Bayramyan,3-4-3,4-3-3,Roman Safyan,Match Report,,12,5,,0,0,2022,Rostov,,
2023-04-16,19:00,Premier League,Matchweek 23,Sun,Home,D,0,0,Zenit,42,13711,Danil Glebov,4-3-3,4-3-3,Sergey Karasev,Match Report,,10,4,,0,0,2022,Rostov,,
2023-04-23,14:00 (12:00),Premier League,Matchweek 24,Sun,Away,W,3,1,Ural,50,5561,Danil Glebov,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,11,6,,1,1,2022,Rostov,,
2023-04-29,19:30,Premier League,Matchweek 25,Sat,Away,D,1,1,Spartak Moscow,46,10568,Danil Glebov,4-3-3,3-4-1-2,Kirill Levnikov,Match Report,,8,2,,0,0,2022,Rostov,,
2023-05-06,19:00,Premier League,Matchweek 26,Sat,Home,L,0,2,Fakel Voronezh,64,11010,Danil Glebov,4-3-3,3-4-1-2,Evgeny Kukulyak,Match Report,,11,1,,0,0,2022,Rostov,,
2023-05-14,20:00 (19:00),Premier League,Matchweek 27,Sun,Away,L,0,1,Sochi,47,2787,Danil Glebov,4-3-3,3-4-3,Yan Bobrovskiy,Match Report,,7,5,,0,0,2022,Rostov,,
2023-05-21,19:00,Premier League,Matchweek 28,Sun,Away,L,0,3,Krasnodar,49,17069,Danil Glebov,4-3-3,4-3-3,Artem Lyubimov,Match Report,,5,1,,0,0,2022,Rostov,,
2023-05-28,19:00,Premier League,Matchweek 29,Sun,Home,W,3,2,Akhmat Grozny,60,9717,Danil Glebov,4-3-3,4-2-3-1,Vitaly Meshkov,Match Report,,15,9,,0,0,2022,Rostov,,
2023-06-03,17:00,Premier League,Matchweek 30,Sat,Away,L,1,4,CSKA Moscow,52,10604,Khoren Bayramyan,4-3-3,3-4-3,Pavel Kukuyan,Match Report,,7,1,,0,0,2022,Rostov,,
